,Source,Type Level 4,altLabels,Definition,Dimension,Type Level 1,Type Level 2,Type Level 3,unique_id,name,name+definition
1392,http://data.europa.eu/esco/skill/81656210-5615-4a69-acb8-5f6bbc9533ae,research your target community,"research your target community
focus on the researched community
study the community earmarked
research your targeted community
research the community targeted",Match your skills with your research on the needs of the target community.,skills,information skills,"conducting studies, investigations and examinations",conducting academic or market research,1881,research your target community,research your target community : match your skills with your research on the needs of the target community.
1393,http://data.europa.eu/esco/skill/81824871-4923-4618-85d5-dfd137568c37,research passenger needs,"research the needs of passengers
analyse customer needs
identify passenger requirements
conduct research into the needs of passengers
research passenger needs
research passengers' needs
analyse passenger desires
examine passenger needs
identify customer requirements
investigate passenger needs
research passenger requirements",Conduct research and investigations in order to identify and classify the needs and desires of passengers; enhance non-aviation related revenues from restaurant and retail offerings in the airport.,skills,information skills,"conducting studies, investigations and examinations",conducting academic or market research,1882,research passenger needs,research passenger needs : conduct research and investigations in order to identify and classify the needs and desires of passengers; enhance non-aviation related revenues from restaurant and retail offerings in the airport.
1394,http://data.europa.eu/esco/skill/818c2b89-1335-4443-ada7-e1046862e273,install automation components,"automation component fitting
fitting automation components
automation components installing
automation component installing
install automation components
automation components fitting
fit automation components
installing automation components",Install the automation components according to the specifications of the circuit diagram.,skills,working with computers,setting up and protecting computer systems,setting up computer systems,1883,install automation components,install automation components : install the automation components according to the specifications of the circuit diagram.
1395,http://data.europa.eu/esco/skill/8193f6c6-80d5-4542-a316-2b783e3d8ad9,plan learning curriculum,plan learning curriculum,"Organise content, form, methods and technologies for delivery of study experiences that occur during educational effort which leads to gaining learning outcomes.",skills,management skills,developing objectives and strategies,developing educational programmes,1884,plan learning curriculum,"plan learning curriculum : organise content, form, methods and technologies for delivery of study experiences that occur during educational effort which leads to gaining learning outcomes."
1396,http://data.europa.eu/esco/skill/81a2db2c-7e55-44d0-9cd9-74c25147d7cd,analyse test data,"analyze  test data
analysing test data
evaluate test data
examine test data
analyzing test data
analyze test data
assess test data","Interpret and analyse data collected during testing in order to formulate conclusions, new insights or solutions.",skills,information skills,analysing and evaluating information and data,"evaluating systems, programmes, equipment and products",1885,analyse test data,"analyse test data : interpret and analyse data collected during testing in order to formulate conclusions, new insights or solutions."
1399,http://data.europa.eu/esco/skill/81a51be0-b205-4853-b8a7-3e11aaf2ad64,assess areas for power line installation,"area assessing for power line installation
check areas for power line installation
assess areas for power line installation
assessing areas for power line installation
area checking for power line installation
checking areas for power line installation","Assess areas in order to identify whether it would be suitable for the installation of underground or overhead power lines and cables, and to assess the energy needs of the area and how it could be better connected to the grid.",skills,information skills,analysing and evaluating information and data,assessing land or real estate,1886,assess areas for power line installation,"assess areas for power line installation : assess areas in order to identify whether it would be suitable for the installation of underground or overhead power lines and cables, and to assess the energy needs of the area and how it could be better connected to the grid."
1400,http://data.europa.eu/esco/skill/81b082fb-9a00-4660-976a-10c985979100,IBM InfoSphere Information Server,IBM InfoSphere Information Server,"The software program IBM InfoSphere Information Server is a platform for integration of information from multiple applications, created and maintained by organisations, into one consistent and transparent data structure, developed by the software company IBM.",knowledge,information and communication technologies (icts),information and communication technologies (icts),database and network design and administration,1887,IBM InfoSphere Information Server,"IBM InfoSphere Information Server : the software program ibm infosphere information server is a platform for integration of information from multiple applications, created and maintained by organisations, into one consistent and transparent data structure, developed by the software company ibm."
1402,http://data.europa.eu/esco/skill/81db5616-3c98-4317-a728-5dae08d44bd4,comprehend financial business terminology,"understand financial business terminology
comprehending  business finance terminology
know financial business terminology
comprehend  business finance terminology
recognise financial business terminology
comprehending financial business terminology
comprehend financial business terminology",Grasp the meaning of basic financial concepts and terms used in businesses and financial institutions or organisations.,skills,information skills,analysing and evaluating information and data,analysing financial and economic data,1888,comprehend financial business terminology,comprehend financial business terminology : grasp the meaning of basic financial concepts and terms used in businesses and financial institutions or organisations.
1403,http://data.europa.eu/esco/skill/81f53835-1dfe-4819-8bc1-01d9b647add8,types of storage facilities,"functions of warehouses and stores
typology of warehouses and stores
range of storage facilities
types of storage facilities
types of warehouses and stores
range of warehouses and stores
typology of storage facilities
functions of storage facilities
characteristics of warehouses and stores
characteristics of storage facilities",Different types of devices and facilities used to hold information and their quality criterias.,knowledge,information and communication technologies (icts),information and communication technologies (icts),database and network design and administration,1889,types of storage facilities,types of storage facilities : different types of devices and facilities used to hold information and their quality criterias.
1404,http://data.europa.eu/esco/skill/8203b07a-8097-4383-aff6-603b7df7f0f4,ATM systems,"ATM system
automated teller machine systems
automatic teller machine systems
cash machines
minibanks
ABMs
ATM systems
holes in the wall
automated teller machines
cash points
automated banking machines","The different technologies, software, hardware and operations that are used or can be found in automated teller machines.",knowledge,information and communication technologies (icts),information and communication technologies (icts),software and applications development and analysis,1890,ATM systems,"ATM systems : the different technologies, software, hardware and operations that are used or can be found in automated teller machines."
1405,http://data.europa.eu/esco/skill/8215234e-d2eb-45cf-8a1a-c57c2ebef1b7,analyse education system,"evaluate education system
analyze  education system
examine education system
analyze education system
analyse education systems
analysing education system
assess education system
analysing education systems","Analyse various aspects of the school and education system, such as the relation between the cultural origin of the students and their educational opportunities, the apprenticeship programmes or the objectives of adult education, in order to make recommendations to education professionals and decision makers.",skills,information skills,analysing and evaluating information and data,"evaluating systems, programmes, equipment and products",1891,analyse education system,"analyse education system : analyse various aspects of the school and education system, such as the relation between the cultural origin of the students and their educational opportunities, the apprenticeship programmes or the objectives of adult education, in order to make recommendations to education professionals and decision makers."
1406,http://data.europa.eu/esco/skill/82312096-4df8-49ce-9cdd-a6e08af56b45,evaluate information services using metrics,"assess information services using metrics
evaluate information services using metrics
rate information services using metrics
evaluating information services using metrics
evaluate information service using metrics
gauge information services using metrics
using metrics to evaluate information services","Use bibliometrics, webometrics and web metrics to evaluate information services.",skills,information skills,analysing and evaluating information and data,analysing and evaluating information and data,1892,evaluate information services using metrics,"evaluate information services using metrics : use bibliometrics, webometrics and web metrics to evaluate information services."
1409,http://data.europa.eu/esco/skill/82313e12-9d39-47d1-b7c9-78bbd6bb50e2,CAE software,"CAE software tools
computer-aided engineering software
CAE software
computer-aided engineering softwares",The software to perform computer-aided engineering (CAE) analysis tasks such as Finite Element Analysis and Computional Fluid Dynamics.,knowledge,information and communication technologies (icts),information and communication technologies (icts),software and applications development and analysis,1893,CAE software,CAE software : the software to perform computer-aided engineering (cae) analysis tasks such as finite element analysis and computional fluid dynamics.
1410,http://data.europa.eu/esco/skill/82394321-7f35-4a29-b2fa-4a58f66258f5,simulate transport problems,"simulate problems for transports
simulate transports problems
simulate transport problems",Implement transport-related data in software and computer models to simulate transport issues such as traffic jams in order to find innovative solutions.,skills,working with computers,"using digital tools for collaboration, content creation and problem solving",using computer aided design and drawing tools,1894,simulate transport problems,simulate transport problems : implement transport-related data in software and computer models to simulate transport issues such as traffic jams in order to find innovative solutions.
1412,http://data.europa.eu/esco/skill/82d8cd8c-9609-4d2d-84cf-dcd9cc8c45a9,lead cast and crew,"lead cast and crew
leading cast and crew
supervise cast and crew
direct cast and crew
manage cast and crew
lead cast and crews
oversee cast and crew
organise cast and crew","Lead a film or theatre cast and crew. Brief them about the creative vision, what they need to do and where they need to be. Manage day-to-day production activities to ensure things run smoothly.",skills,management skills,leading and motivating,leading and motivating,1895,lead cast and crew,"lead cast and crew : lead a film or theatre cast and crew. brief them about the creative vision, what they need to do and where they need to be. manage day-to-day production activities to ensure things run smoothly."
1414,http://data.europa.eu/esco/skill/82de2df7-0d6c-42b1-94ac-b3e9a029e917,use back-up and recovery tools,"use back-up and recovery tools
using back-up tools
using recovery tools
using back-up and recovery software, use back-up software
use recovery software
back-up and recovery tools using, use back-up tools
use recovery tools
using back-up and recovery tools
use back-up and recovery software","Use tools which allow users to copy and archive computer software, configurations and data and recover them in case of loss.",skills,working with computers,setting up and protecting computer systems,protecting ict devices,1896,use back-up and recovery tools,"use back-up and recovery tools : use tools which allow users to copy and archive computer software, configurations and data and recover them in case of loss."
1415,http://data.europa.eu/esco/skill/82e1876d-03be-4e15-b32a-b0967a20df71,assist in the development of standard operating procedures in the food chain,"assist in the development of a standard operating procedure in the food chain
assist in the development of standard operating procedures in the food chain
undertake the development of standard operating procedures in the food chain
assist in the development of standard operating processes in the food chain
implement  test the development of standard operating procedures in the food chain
complete the development of standard operating procedures in the food chain
operate test on the development of standard operating procedures in the food chain",Assist in the development of Standard Operating Procedures (SOP) in the food chain by working with line operators. Understand current operating procedures and identify best techniques. Help document new procedures and update existing ones.,skills,management skills,developing objectives and strategies,developing operational policies and procedures,1897,assist in the development of standard operating procedures in the food chain,assist in the development of standard operating procedures in the food chain : assist in the development of standard operating procedures (sop) in the food chain by working with line operators. understand current operating procedures and identify best techniques. help document new procedures and update existing ones.
1418,http://data.europa.eu/esco/skill/8316979b-df5a-4dc7-98ef-61ec6a10df84,conduct quantitative research,conduct quantitative research,"Execute a systematic empirical investigation of observable phenomena via statistical, mathematical or computational techniques.",skills,information skills,"conducting studies, investigations and examinations",conducting academic or market research,1898,conduct quantitative research,"conduct quantitative research : execute a systematic empirical investigation of observable phenomena via statistical, mathematical or computational techniques."
1419,http://data.europa.eu/esco/skill/83218cac-3599-417e-93d2-26013cdccd98,service-oriented modelling,"service oriented models
ICT service models
Software as a service
saas
service-oriented modeling","The principles and fundamentals of service-oriented modelling for business and software systems that allow the design and specification of service-oriented business systems within a variety of architectural styles, such as enterprise architecture and application architecture.",knowledge,information and communication technologies (icts),information and communication technologies (icts),database and network design and administration,1899,service-oriented modelling,"service-oriented modelling : the principles and fundamentals of service-oriented modelling for business and software systems that allow the design and specification of service-oriented business systems within a variety of architectural styles, such as enterprise architecture and application architecture."
1420,http://data.europa.eu/esco/skill/833289fa-3646-4010-9d9e-93ba8c9ef2d8,apply research ethics and scientific integrity principles in research activities,"adhere to scientific research code of ethics
obey scientific research code of conduct
follow scientific research code of conduct","Apply fundamental ethical principles and legislation to scientific research, including issues of research integrity. Perform, review, or report research avoiding misconducts such as fabrication, falsification, and plagiarism.",skills,information skills,"conducting studies, investigations and examinations",conducting academic or market research,1900,apply research ethics and scientific integrity principles in research activities,"apply research ethics and scientific integrity principles in research activities : apply fundamental ethical principles and legislation to scientific research, including issues of research integrity. perform, review, or report research avoiding misconducts such as fabrication, falsification, and plagiarism."
1421,http://data.europa.eu/esco/skill/8359bd04-d2cb-4757-af1f-39a921df9efe,remove computer virus or malware from a computer,"removing computer virus or malware from a computer
clean virus-infected computer
computer virus or malware removing from a computer
clean malware-infected computer
remove malware from a computer
remove computer virus or malware from a computer
cleaning virus-infected computer
remove virus from a computer
removing malware from a computer
removing virus from a computer
cleaning malware-infected computer",Carry out actions to remove computer viruses or other types of malware from a computer.,skills,working with computers,setting up and protecting computer systems,protecting ict devices,1901,remove computer virus or malware from a computer,remove computer virus or malware from a computer : carry out actions to remove computer viruses or other types of malware from a computer.
1422,http://data.europa.eu/esco/skill/8369c2d6-c100-4cf6-bd83-9668d8678433,utilise machine learning,utilize machine learning,"Use techniques and algorithms that are able to extract mastery out of data, learn from it and make predictions, to be used for program optimisation, application adaptation, pattern recognition, filtering, search engines and computer vision.",skills,working with computers,programming computer systems,programming computer systems,1902,utilise machine learning,"utilise machine learning : use techniques and algorithms that are able to extract mastery out of data, learn from it and make predictions, to be used for program optimisation, application adaptation, pattern recognition, filtering, search engines and computer vision."
1423,http://data.europa.eu/esco/skill/8369ede5-4200-4a44-be2e-bc60ef959259,Microsoft Visual C++,"MS Visual C++
Microsoft Visual C++
VC++
Visual C++
MSVC","The computer program Visual C++ is a suite of software development tools for writing programs, such as compiler, debugger, code editor, code highlights, packaged in a unified user interface. It is developed by the software company Microsoft.",knowledge,information and communication technologies (icts),information and communication technologies (icts),computer use,1903,Microsoft Visual C++,"Microsoft Visual C++ : the computer program visual c++ is a suite of software development tools for writing programs, such as compiler, debugger, code editor, code highlights, packaged in a unified user interface. it is developed by the software company microsoft."
1425,http://data.europa.eu/esco/skill/83934f53-5ffa-478f-9f8f-b779e9b4fc7a,self-service technologies in tourism,,"The application of self-service technologies in the tourism industry: performing online bookings, self-check-ins for hotels and airlines, allowing clients to perform and complete reservations by themselves using digital tools.",knowledge,information and communication technologies (icts),information and communication technologies (icts),information and communication technologies not elsewhere classified,1904,self-service technologies in tourism,"self-service technologies in tourism : the application of self-service technologies in the tourism industry: performing online bookings, self-check-ins for hotels and airlines, allowing clients to perform and complete reservations by themselves using digital tools."
1426,http://data.europa.eu/esco/skill/8394fefb-f62a-48c0-a156-3117cefdb9b3,develop economic policies,"prepare economic policies
evaluate economic policies
develop economic policies
prepare economic strategies
establish economic policies
evaluate economic strategies
establish economic strategies
produce economic policies
produce economic strategies","Develop strategies for economic stability and growth in an organisation, nation, or internationally, and for the improvement of trade practices and financial procedures.",skills,management skills,developing objectives and strategies,developing policies and legislation,1905,develop economic policies,"develop economic policies : develop strategies for economic stability and growth in an organisation, nation, or internationally, and for the improvement of trade practices and financial procedures."
1427,http://data.europa.eu/esco/skill/83c92faa-7ad7-42fa-9229-4eb6fc9719c1,manage aviation planning,"manage planning for aviation
develop aviation contingency plans
oversee aviation planning
manage aviation planning
administer aviation planning
execute aviation planning management activities
develop and execute aviation contingency plans
perform aviation planning management activities
conduct aviation planning management activities
supervise aviation planning",Develop and execute contingency plans; evaluate changes in aviation planning.,skills,management skills,developing objectives and strategies,developing contingency and emergency response plans,1906,manage aviation planning,manage aviation planning : develop and execute contingency plans; evaluate changes in aviation planning.
1429,http://data.europa.eu/esco/skill/84251cb1-babf-4d17-a3cd-baa642c24c8d,IBM Informix,"Informix Advanced Workgroup Edition
Informix Workgroup Edition
Informix Dynamic Server
IBM Informix
Informix Express Edition
Informix Enterprise Edition
Informix Extended Parallel Server
Informix Advanced Enterprise Edition","The computer program IBM Informix is a tool for creating, updating and managing databases, developed by the software company IBM.",knowledge,information and communication technologies (icts),information and communication technologies (icts),database and network design and administration,1907,IBM Informix,"IBM Informix : the computer program ibm informix is a tool for creating, updating and managing databases, developed by the software company ibm."
1431,http://data.europa.eu/esco/skill/84813d49-6af2-48d8-9ef8-50925824ca20,develop opportunities for progression in sport,"develop opportunities for sport progression
develop opportunities for participation in sport
create plans to increase sport participation
develop opportunities to progress in sports
develop opportunities for progression in sport",Develop and implement plans and frameworks to increase participation and the progression of athletes.,skills,management skills,developing objectives and strategies,developing health programmes,1908,develop opportunities for progression in sport,develop opportunities for progression in sport : develop and implement plans and frameworks to increase participation and the progression of athletes.
1432,http://data.europa.eu/esco/skill/84c52ee9-3eed-4f6c-983c-456e818c65f3,read hallmarks,"gather hallmarks
reading a hallmark
reading hallmarks
read a hallmark
read hallmarks
interpret hallmarks
study hallmarks
learn about hallmarks","Read and understand stamps on metal object to indicate the purity, date of production, and producer of the item.",skills,information skills,analysing and evaluating information and data,"evaluating systems, programmes, equipment and products",1909,read hallmarks,"read hallmarks : read and understand stamps on metal object to indicate the purity, date of production, and producer of the item."
1433,http://data.europa.eu/esco/skill/84f73180-4a45-49f4-9140-cb49bbc29531,set scanner controls,"plan scanner controls
set scanner controls
determine scanner controls
setting scanner controls
program scanner controls
set scanner control","Use a mouse, keyboard or other controls to set up the scanner precisely.",skills,working with computers,using digital tools to control machinery,using digital tools to control machinery,1910,set scanner controls,"set scanner controls : use a mouse, keyboard or other controls to set up the scanner precisely."
1435,http://data.europa.eu/esco/skill/85038d57-1fdd-40de-b908-2c005545a8c3,SketchBook Pro,"SketchBook Pro
SketchBook
Autodesk SketchBook Pro",The computer program SketchBook Pro is a graphical ICT tool which enables digital editing and composition of graphics to generate both 2D raster or 2D vector graphics. It is developed by the software company Autodesk.,knowledge,information and communication technologies (icts),information and communication technologies (icts),computer use,1911,SketchBook Pro,SketchBook Pro : the computer program sketchbook pro is a graphical ict tool which enables digital editing and composition of graphics to generate both 2d raster or 2d vector graphics. it is developed by the software company autodesk.
1437,http://data.europa.eu/esco/skill/8538c0e3-902f-4e6f-a60c-0e1fd7e3a956,develop an organisational structure,"generate organisational structure
develop structure of organisation
develop an organizational  structure
build organisational structure
develop organisation structure
create organisational structure
developing organisational structure",Create and develop the organisational structure of a group of people working together to realise the goals of the organisation.,skills,management skills,developing objectives and strategies,developing operational policies and procedures,1912,develop an organisational structure,develop an organisational structure : create and develop the organisational structure of a group of people working together to realise the goals of the organisation.
1438,http://data.europa.eu/esco/skill/85616cc4-98bf-4355-9cf1-72ff11752848,develop ICT device driver,develop ICT device driver,Create a software program that controls the working of an ICT device and its interaction with other applications.,skills,working with computers,programming computer systems,programming computer systems,1913,develop ICT device driver,develop ICT device driver : create a software program that controls the working of an ict device and its interaction with other applications.
1439,http://data.europa.eu/esco/skill/857fefe9-c8f9-45d9-bf3b-923d46e15e64,screen television series pilots,"view television series pilots
watch television series pilots
screen television series pilots
screening television series pilots
screen television series pilot
evaluate television series pilots",Screen television series pilots in front of a test audience to find out if shows appeals to the targeted audience by analysing test viewers’ comments.,skills,information skills,analysing and evaluating information and data,"evaluating systems, programmes, equipment and products",1914,screen television series pilots,screen television series pilots : screen television series pilots in front of a test audience to find out if shows appeals to the targeted audience by analysing test viewers’ comments.
1440,http://data.europa.eu/esco/skill/85834248-bb25-418d-9e34-bb6c5af88418,make decisions regarding landscaping,"make judgements about landscaping
make decisions about landscaping
making decisions regarding landscaping
make judgements regarding landscaping
making judgements about landscaping
decision making regarding landscaping
making judgements regarding landscaping
judgement making regarding landscaping
making decisions about landscaping
make decisions regarding landscaping",Resolve problems by making decisions regarding projects and installation tasks for landscaping sites.,skills,management skills,making decisions,making decisions,1915,make decisions regarding landscaping,make decisions regarding landscaping : resolve problems by making decisions regarding projects and installation tasks for landscaping sites.
1442,http://data.europa.eu/esco/skill/85ab0f6b-1404-4f82-90ee-c6aac0c1ef10,monitor food production documentation,"view food production documentation
watch food production documentation
oversee food production documentation
supervise food production documentation
monitor the production of food documentation
monitor food production documents
monitor food production documentation",Conducting document control during different stages of production to monitor production steps and quality.,skills,information skills,analysing and evaluating information and data,analysing business operations,1916,monitor food production documentation,monitor food production documentation : conducting document control during different stages of production to monitor production steps and quality.
1443,http://data.europa.eu/esco/skill/85c1377a-b96f-4ad0-adb4-8d11f8a2eecd,present the farm facilities,"run farm demonstrations
present the facilities of the farm
presenting the facilities of the farm
run open-farm events
presenting the farm facilities
running open-farm events
running farm demonstrations
present the farm facilities
farm facilities presenting",Perform customer adapted presentations of the farm organization and farm processes taking under consideration the farm sustainability and local environment.,skills,"communication, collaboration and creativity",presenting information,presenting general information,1917,present the farm facilities,present the farm facilities : perform customer adapted presentations of the farm organization and farm processes taking under consideration the farm sustainability and local environment.
1444,http://data.europa.eu/esco/skill/85f46538-ae70-498a-bfbc-b8ddafe96c7d,levels of software testing,levels of software testing,"The levels of testing in the software development process, such as unit testing, integration testing, system testing and acceptance testing.",knowledge,information and communication technologies (icts),information and communication technologies (icts),software and applications development and analysis,1918,levels of software testing,"levels of software testing : the levels of testing in the software development process, such as unit testing, integration testing, system testing and acceptance testing."
1445,http://data.europa.eu/esco/skill/861313ba-3a1a-4d33-842a-1b8e45e2415b,manage ICT legacy implication,"manage ICT legacy implication
analyse legacy implication","Oversee the transfer process from a legacy (an outdated system) to a current system by mapping, interfacing, migrating, documenting and transforming data.",skills,working with computers,accessing and analysing digital data,"managing, gathering and storing digital data",1919,manage ICT legacy implication,"manage ICT legacy implication : oversee the transfer process from a legacy (an outdated system) to a current system by mapping, interfacing, migrating, documenting and transforming data."
1446,http://data.europa.eu/esco/skill/862920c8-f2d0-4058-8fb8-9f06fbfc2446,develop recycling programs,"establish recycling programs
produce recycling programs
launch recycling programs
developing a recycling programs developing recycling programs
develop a recycling program
develop recycling programs
evaluate recycling programs",Develop and coordinate recycling programs; collect and process recyclable materials in order to reduce waste.,skills,management skills,developing objectives and strategies,developing operational policies and procedures,1920,develop recycling programs,develop recycling programs : develop and coordinate recycling programs; collect and process recyclable materials in order to reduce waste.
1447,http://data.europa.eu/esco/skill/865540ca-6566-45d8-b9bb-0df53d5eeb55,audit closed vehicle rental contracts,"examine closed vehicle rental contracts
audit of closed vehicle rental contracts
audit a closed vehicle rental contract
check closed vehicle rental contracts
auditing closed vehicle rental contracts
test closed vehicle rental contracts
assess closed vehicle rental contracts
audit closed vehicle rental contracts","Ensure the accuracy of refuelling charges, applicable taxes for the returned vehicles.",skills,information skills,analysing and evaluating information and data,"evaluating systems, programmes, equipment and products",1921,audit closed vehicle rental contracts,"audit closed vehicle rental contracts : ensure the accuracy of refuelling charges, applicable taxes for the returned vehicles."
1450,http://data.europa.eu/esco/skill/867137fb-ff1b-4ca3-99f3-cb6969aa2c68,TypeScript,TypeScript,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in TypeScript.",knowledge,information and communication technologies (icts),information and communication technologies (icts),software and applications development and analysis,1922,TypeScript,"TypeScript : the techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in typescript."
1452,http://data.europa.eu/esco/skill/8682024b-2c8b-4de4-8cd7-23ea6169da57,operate signal generator,"microwave signal generator operating
function generator operating
pitch generator operating
tone generator operating
operate signal generator
arbitrary waveform generator operating
RF signal generator operating
frequency generator operating
digital pattern generator operating","Use electronic devices or software tone generators that produce digital or analog repeating or non-repeating electronic signals in order to design, test and repair electronic and acoustic equipment.",skills,working with computers,accessing and analysing digital data,accessing and analysing digital data,1923,operate signal generator,"operate signal generator : use electronic devices or software tone generators that produce digital or analog repeating or non-repeating electronic signals in order to design, test and repair electronic and acoustic equipment."
1453,http://data.europa.eu/esco/skill/8696aff0-18c0-4ba6-a4d0-9a21861b3e5e,World Wide Web Consortium standards,"W3C standards
World Wide Web Consortium standards","The standards, technical specifications and guidelines developed by the international organisation World Wide Web Consortium (W3C) which allow the design and development of web applications.",knowledge,information and communication technologies (icts),information and communication technologies (icts),software and applications development and analysis,1924,World Wide Web Consortium standards,"World Wide Web Consortium standards : the standards, technical specifications and guidelines developed by the international organisation world wide web consortium (w3c) which allow the design and development of web applications."
1454,http://data.europa.eu/esco/skill/86c8482c-776b-43b5-a01c-956601069cfe,discuss artwork,"confer on art
conferring on artwork
consult on artwork
confer on artwork
confer on artworks","Introduce and discuss the nature and content of art work, achieved or to be produced with an audience, art directors, catalogue editors, journalists, and other parties of interest.",skills,"communication, collaboration and creativity",presenting information,presenting research or technical information,1925,discuss artwork,"discuss artwork : introduce and discuss the nature and content of art work, achieved or to be produced with an audience, art directors, catalogue editors, journalists, and other parties of interest."
1455,http://data.europa.eu/esco/skill/86f1b972-fcd4-478a-9bd7-2ecbbf901e21,develop work programmes,"develop work programs
scheduling work programmes
schedule programmes of work
work programmes scheduling
schedule work programmes
scheduling programmes of work
developing work programmes
developing programmes of work
develop programmes of work
work programmes developing",Develop annual work programs for resource usage which will benefit the environment and forest production.,skills,management skills,developing objectives and strategies,developing operational policies and procedures,1926,develop work programmes,develop work programmes : develop annual work programs for resource usage which will benefit the environment and forest production.
1456,http://data.europa.eu/esco/skill/86f7126d-97fd-4da5-be96-d1cf6ecd54e6,Microsoft Visio,"MS Visio
Visio 2000
Office Visio 2003
Visio 2010
Microsoft Office Visio
Visio 2002
Visio 2016
Visio 2013
Microsoft Visio
Office Visio 2007",The computer program Microsoft Visio is a graphical ICT tool which enables digital editing and composition of graphics to generate both 2D raster or 2D vector graphics. It is developed by the software company Microsoft.,knowledge,information and communication technologies (icts),information and communication technologies (icts),computer use,1927,Microsoft Visio,Microsoft Visio : the computer program microsoft visio is a graphical ict tool which enables digital editing and composition of graphics to generate both 2d raster or 2d vector graphics. it is developed by the software company microsoft.
1458,http://data.europa.eu/esco/skill/872a1632-f1db-4feb-bb27-0a6a359b7591,promote open innovation in research,promote integrated collaboration in research,"Apply techniques, models, methods and strategies which contribute to the promotion of steps towards innovation through collaboration with people and organizations outside the organisation.
",skills,information skills,"conducting studies, investigations and examinations",conducting academic or market research,1928,promote open innovation in research,"promote open innovation in research : apply techniques, models, methods and strategies which contribute to the promotion of steps towards innovation through collaboration with people and organizations outside the organisation.
"
1459,http://data.europa.eu/esco/skill/873f205a-05f8-45f8-b544-fe963a3edc1e,address identified risks,"manage risk treatment
treat risks","Implement a risk treatment plan to address the risks identified during the assessment phase, avoid their occurrence and/or minimise their impact. Evaluate the different options available to reduce the exposure to the identified risks, based on the risk appetite of an organisation, the accepted level of tolerance and the cost of treatment. ",skills,information skills,analysing and evaluating information and data,performing risk analysis and management,1929,address identified risks,"address identified risks : implement a risk treatment plan to address the risks identified during the assessment phase, avoid their occurrence and/or minimise their impact. evaluate the different options available to reduce the exposure to the identified risks, based on the risk appetite of an organisation, the accepted level of tolerance and the cost of treatment. "
1460,http://data.europa.eu/esco/skill/875217fb-fe22-4c2c-adf4-b57f2052626a,make time-critical decisions,"making time-critical decision
aim for optimal time-critical decision making
make time-critical decisions
time-critical decision making
pursuit of time-critical decision making
making time-critical decisions
making of time-critical decisions
achieve optimal time-critical decision making
pursue time-critical decision making",Pursue optimal time-critical decision making within the organisation.,skills,management skills,making decisions,making decisions,1930,make time-critical decisions,make time-critical decisions : pursue optimal time-critical decision making within the organisation.
1462,http://data.europa.eu/esco/skill/8764d4b1-e069-44f2-8baa-fb1eee1850ec,Oracle Application Development Framework,Oracle Application Development Framework,"The Java framework software development environment which provide specific features and components (such as enhanced reusability features, visual and declarative programming) that support and guide enterprise applications development.",knowledge,information and communication technologies (icts),information and communication technologies (icts),software and applications development and analysis,1931,Oracle Application Development Framework,"Oracle Application Development Framework : the java framework software development environment which provide specific features and components (such as enhanced reusability features, visual and declarative programming) that support and guide enterprise applications development."
1464,http://data.europa.eu/esco/skill/8785ccda-6f9f-4cf3-9033-fda10653d0be,JSSS,"JSSS
JavaScript Style Sheets","The computer language JSSS is a style sheet language that conveys the presentation of structured documents. These documents have to adhere to style sheets, a set of stylistic rules such as font, color and layout.",knowledge,information and communication technologies (icts),information and communication technologies (icts),database and network design and administration,1932,JSSS,"JSSS : the computer language jsss is a style sheet language that conveys the presentation of structured documents. these documents have to adhere to style sheets, a set of stylistic rules such as font, color and layout."
1466,http://data.europa.eu/esco/skill/87a557ca-7965-43a4-b7b9-719da218d371,assess performance of rail operations,"assess performance of rail operations
assess railroad operational performance
assess operational performance of railroad
conduct railway operations performance evaluations
perform evaluations of railway operational performance
conduct performance assessments of railway operations
carry out evaluations of railway operational performance
assess performance of railway operations
assess performance of railroad operations
perform rail operations performance evaluations
assess operational performance of railway
assess railway operational performance
conduct performance assessments of rail operations","Assess the best practices in the railway industry, and devise strategies to improve performance.",skills,information skills,analysing and evaluating information and data,analysing business operations,1933,assess performance of rail operations,"assess performance of rail operations : assess the best practices in the railway industry, and devise strategies to improve performance."
1467,http://data.europa.eu/esco/skill/87a7c61b-732f-40e7-8012-48ed155c20e8,manage ship emergency plans,"managing ship emergency plans
ship emergency plans implementing
ship emergency plan managing
ship emergency plan implementing
implementing ship emergency plans
ship emergency plans managing
implement ship emergency plans
manage ship emergency plans","Organize and manage emergency operations, flooding, abandoning ship, survival at sea, search and rescue of shipwrecked, according to the ship's emergency plans, to ensure the safety",skills,management skills,developing objectives and strategies,developing contingency and emergency response plans,1934,manage ship emergency plans,"manage ship emergency plans : organize and manage emergency operations, flooding, abandoning ship, survival at sea, search and rescue of shipwrecked, according to the ship's emergency plans, to ensure the safety"
